Ticker,MarketCap_KRW,Sector
039130.KS,745065742336.0,Consumer Cyclical
039200.KQ,1935711928320.0,Unknown
039440.KQ,562218336256.0,Technology
039490.KS,12062156652544.0,Financial Services
041190.KQ,612845944832.0,Financial Services
041920.KQ,380093693952.0,Unknown
041960.KQ,644597219328.0,Unknown
042000.KQ,801506263040.0,Technology
042520.KQ,654543749120.0,Healthcare
043260.KQ,2191515320320.0,Unknown
044490.KQ,710261997568.0,Industrials
045100.KQ,545061928960.0,Unknown
045390.KQ,331224875008.0,Unknown
047040.KS,4166381207552.0,Industrials
048410.KQ,1505886863360.0,Healthcare
049630.KQ,413274800128.0,Technology
050890.KQ,503953653760.0,Unknown
051600.KS,2789999902720.0,Industrials
052400.KQ,960048267264.0,Technology
052690.KS,6661417730048.0,Industrials
053610.KQ,527400009728.0,Technology
056080.KQ,1134742601728.0,Unknown
057050.KS,952658755584.0,Consumer Cyclical
058610.KQ,2814306942976.0,Unknown
059090.KQ,501732802560.0,Technology
060250.KQ,807129186304.0,Technology
060280.KQ,698118963200.0,Unknown
060370.KQ,1399556931584.0,Unknown
060720.KQ,388299718656.0,Unknown
062040.KS,5065087647744.0,Technology
064260.KQ,566404579328.0,Technology
065350.KQ,1908313161728.0,Industrials
066970.KS,4712853667840.0,Industrials
067310.KQ,2319518269440.0,Unknown
068270.KS,52177917706240.0,Healthcare
069620.KS,2028555337728.0,Healthcare
069960.KS,2379650433024.0,Consumer Cyclical
071050.KS,15095563288576.0,Financial Services
071320.KS,1079138910208.0,Utilities
071970.KS,2961344561152.0,Industrials
073240.KS,2005076803584.0,Consumer Cyclical
075580.KS,1121639727104.0,Industrials
077360.KQ,532067254272.0,Unknown
077970.KS,1322572447744.0,Industrials
078020.KQ,406269886464.0,Unknown
078160.KQ,857929023488.0,Unknown
078350.KQ,375508992000.0,Unknown
078600.KQ,1444744921088.0,Unknown
078930.KS,6504184283136.0,Industrials
079370.KQ,544461455360.0,Unknown
079550.KS,11119232024576.0,Industrials
079900.KS,869898977280.0,Industrials
080220.KQ,1507318956032.0,Unknown
080580.KQ,305650794496.0,Technology
081660.KS,2601500278784.0,Consumer Cyclical
082270.KQ,1643073110016.0,Unknown
082640.KS,1182954291200.0,Financial Services
082740.KS,4504978718720.0,Industrials
082920.KQ,939131666432.0,Unknown
083450.KQ,567560962048.0,Unknown
083650.KQ,2500124475392.0,Unknown
084370.KQ,3225718882304.0,Unknown
085620.KS,1737993617408.0,Financial Services
085660.KQ,1654626844672.0,Healthcare
086390.KQ,398319878144.0,Unknown
086900.KQ,847343124480.0,Healthcare
087010.KQ,6054902497280.0,Unknown
088350.KS,3723138695168.0,Financial Services
088980.KS,3965139812352.0,Unknown
089010.KQ,513893072896.0,Unknown
089030.KQ,1665505951744.0,Technology
089890.KQ,419237330944.0,Unknown
089970.KQ,1002376790016.0,Technology
090360.KQ,781949992960.0,Industrials
090460.KS,627806175232.0,Technology
090710.KQ,1551141568512.0,Unknown
092200.KS,394433003520.0,Consumer Cyclical
092870.KQ,388199809024.0,Unknown
093370.KS,861259497472.0,Basic Materials
094170.KQ,592283238400.0,Technology
094360.KQ,374019358720.0,Unknown
094480.KQ,397790576640.0,Unknown
095610.KQ,1261214105600.0,Unknown
096530.KQ,1210473512960.0,Healthcare
097230.KS,2284321767424.0,Industrials
098460.KQ,2101891301376.0,Technology
099190.KQ,648270643200.0,Unknown
099320.KQ,1999703375872.0,Unknown
099440.KQ,383878692864.0,Industrials
100090.KS,1205827928064.0,Industrials
100790.KQ,1131468292096.0,Unknown
100840.KS,908022906880.0,Industrials
101160.KQ,511015223296.0,Unknown
101490.KQ,1924655349760.0,Unknown
102710.KQ,834409594880.0,Unknown
103140.KS,3162993328128.0,Industrials
103590.KS,4267115544576.0,Industrials
104830.KQ,585011167232.0,Basic Materials
105840.KS,499184893952.0,Technology
107640.KQ,513075937280.0,Consumer Cyclical
108320.KS,949835137024.0,Technology
108490.KQ,3768939184128.0,Technology
110990.KQ,423499497472.0,Technology
111770.KS,4124074835968.0,Consumer Cyclical
112040.KQ,767352635392.0,Unknown
114090.KS,809072197632.0,Consumer Cyclical
114190.KQ,409609240576.0,Industrials
114810.KQ,448055214080.0,Technology
115180.KQ,1124968300544.0,Healthcare
117730.KQ,454526566400.0,Technology
119850.KQ,624893296640.0,Industrials
120110.KS,2046927437824.0,Basic Materials
121600.KQ,855492329472.0,Basic Materials
122640.KQ,475307638784.0,Industrials
122870.KQ,1372468936704.0,Communication Services
124500.KQ,1357464862720.0,Technology
126340.KQ,832753041408.0,Unknown
127120.KQ,1172781137920.0,Healthcare
128820.KS,306891096064.0,Energy
130660.KS,784029974528.0,Utilities
131290.KQ,1025702952960.0,Unknown
136480.KQ,333427769344.0,Consumer Defensive
138930.KS,6217665085440.0,Financial Services
139130.KS,2955547508736.0,Financial Services
140410.KQ,3886542225408.0,Unknown
160190.KQ,1924271964160.0,Consumer Cyclical
161000.KS,505460457472.0,Basic Materials
161580.KQ,1230984577024.0,Industrials
161890.KS,1801067298816.0,Consumer Defensive
168360.KQ,578275049472.0,Industrials
171090.KQ,1155354460160.0,Technology
174900.KQ,1179944222720.0,Healthcare
175330.KS,6028836470784.0,Financial Services
178320.KQ,2669835190272.0,Technology
178920.KS,588794757120.0,Basic Materials
180640.KS,10517829648384.0,Consumer Cyclical
187660.KQ,934505021440.0,Healthcare
189300.KQ,1245090152448.0,Unknown
190510.KQ,324306042880.0,Unknown
192650.KS,525395165184.0,Technology
192820.KS,2155675779072.0,Consumer Defensive
194480.KQ,425433235456.0,Communication Services
195870.KS,1098199990272.0,Technology
199430.KQ,362771742720.0,Industrials
200470.KQ,374895083520.0,Technology
200710.KQ,589436157952.0,Unknown
200880.KS,448307462144.0,Consumer Cyclical
203400.KQ,195990781952.0,Healthcare
204270.KQ,1268171669504.0,Technology
204320.KS,2948907139072.0,Consumer Cyclical
204620.KQ,345038618624.0,Industrials
206650.KQ,547532341248.0,Healthcare
214370.KQ,5981783719936.0,Unknown
214430.KQ,749763166208.0,Technology
215600.KQ,500030013440.0,Healthcare
216080.KQ,347469053952.0,Healthcare
218410.KQ,1703673069568.0,Unknown
226950.KQ,3620661100544.0,Healthcare
229640.KS,1404166733824.0,Industrials
232140.KQ,1770019618816.0,Technology
234340.KQ,371876691968.0,Technology
236200.KQ,328822718464.0,Industrials
241520.KQ,464417423360.0,Financial Services
241710.KQ,902460014592.0,Consumer Defensive
248070.KS,883644039168.0,Technology
249420.KS,1222513393664.0,Healthcare
251270.KS,4309758246912.0,Communication Services
252990.KQ,628168785920.0,Technology
253590.KQ,761583239168.0,Technology
256840.KQ,309144879104.0,Healthcare
257720.KQ,2682388217856.0,Consumer Defensive
259960.KS,11092609728512.0,Communication Services
265520.KQ,340159266816.0,Technology
267260.KS,37792339984384.0,Industrials
267270.KS,6749627613184.0,Industrials
271560.KS,5273140330496.0,Consumer Defensive
272210.KS,21242434289664.0,Industrials
274090.KQ,292235935744.0,Industrials
277810.KQ,16683878055936.0,Industrials
278280.KQ,535227006976.0,Basic Materials
278470.KS,11699423805440.0,Consumer Defensive
281740.KQ,1554526633984.0,Basic Materials
281820.KS,969663643648.0,Technology
282330.KS,2155921932288.0,Consumer Defensive
285130.KS,1330243567616.0,Basic Materials
